,domain,avg_dis,label
0,46sdzf3zdg1dxg2.us,0.05794768611670022,1
1,rilibiao.com.cn,0.05761843790012801,1
2,osdn.net,0.05794456242061283,1
3,388g.com,0.05799502899751454,1
4,hanvon.com,0.059056020392983084,1
5,cibn.cc,0.05795561197155121,1
6,liangchan.net,0.058398245000476905,1
7,ufileos.com,0.05973188528762938,1
8,5ibrz.com,0.059018681495184244,1
9,qswzayy.com,0.05910135487600278,1
10,shreeramworld.com,0.0579476861167002,1
11,chickenkiller.com,0.05924082877919463,1
12,menww.com,0.05883577326025117,1
13,ad-lionmobi.com,0.05901558721875382,1
14,tsdm.me,0.05794768611670022,1
15,8684.cn,0.05874597638817718,1
16,72zx.com,0.05794768611670022,1
17,rutracker.cc,0.05713152152350728,1
18,win8.net,0.05778259299386062,1
19,yy845.com,0.05841524481379133,1
20,jdhyjf.com,0.05875649906907152,1
21,9xiu.com,0.05796881296190641,1
22,szprize.cn,0.058787507654623386,1
23,weebly.com,0.059018681495184244,1
24,6071.com,0.05713152152350728,1
25,persiangig.com,0.057314085483099596,1
26,btzoo.eu,0.06033048685815683,1
27,lvsetxt.com,0.05713152152350721,1
28,rootjl.com,0.05713152152350721,1
29,12301.cc,0.057338111509292425,1
30,port443.xyz,0.057512715995724134,1
31,cnscg.com,0.05871015567086733,1
32,xiangyuerom.com,0.05713152152350721,1
33,rrurl.cn,0.057782592993860606,1
34,zbjimg.com,0.05850487540628387,1
35,jiamarket.com,0.05713152152350723,1
36,iyouman.com,0.057691909179451405,1
37,epicgames.com,0.05850487540628386,1
38,explorads.com,0.05713152152350723,1
39,longhoo.net,0.057131521523507256,1
40,gotoip2.com,0.05713152152350723,1
41,yuanzhe.me,0.05713152152350723,1
42,spark-rostov.ru,0.05713152152350723,1
43,voicefive.com,0.05713152152350723,1
44,126.am,0.05761843790012801,1
45,umeng.co,0.05713152152350723,1
46,cdnvideo.ru,0.057131521523507256,1
47,mg3721.com,0.05713152152350723,1
48,000o.cc,0.057131521523507256,1
49,fkvideo.cc,0.05713152152350728,1
50,iuwzs.com,0.05761843790012801,1
51,manhuagui.com,0.05794768611670022,1
52,jwhss.com,0.0,1
53,xmcdn.com,0.05713152152350757,1
54,1360.com,0.05713152152350711,1
55,yunfancdn.com,0.057131521523507395,1
56,leechers-paradise.org,0.05713152152350711,1
57,fcbarcelona.com,0.0,1
58,ruubypay.com,0.05826477331843317,1
59,sharewithu.com,0.05725760291261225,1
60,91danji.com,0.05850487540628387,1
61,msftconnecttest.com,0.05713152152350721,1
62,aliyuncs.com,0.05713152152350742,1
63,dfshurufa.com,0.05713152152350744,1
64,go2yd.com,0.057131521523507256,1
65,internetwarriors.net,0.05713152152350728,1
66,yximgs.com,0.05713152152350706,1
67,tujingdy.com,0.05713152152350715,1
68,acgvideo.com,0.05713152152350723,1
69,shanhu99.com,0.05713152152350715,1
70,opentracker.xyz,0.057131521523507256,1
71,lofter.com,0.057131521523507506,1
72,trackerlist.xyz,0.05713152152350715,1
73,parkingcrew.net,0.05927842629892087,1
74,myoppo.com,0.05713152152350711,1
75,elecfans.com,0.057131521523507256,1
76,securestudies.com,0.05713152152350728,1
77,sanguoq.com,0.05778259299386065,1
78,xuanwu88.com,0.05713152152350709,1
79,koowo.com,0.05713152152350709,1
80,maihehd.com,0.057131521523507256,1
81,acgtracker.com,0.05713152152350711,1
82,kickasstracker.com,0.05713152152350711,1
83,beijing-time.org,0.05713152152350711,1
84,qcloudcdn.com,0.057131521523507395,1
85,wkanx.com,0.05713152152350711,1
86,hpplay.cn,0.057131521523507485,1
87,rising.com.cn,0.05713152152350709,1
88,ytjdl.com,0.05713152152350744,1
89,trackerfix.com,0.05713152152350711,1
90,kuai8.com,0.06801765946867029,1
91,qhcdn.com,0.057131521523507395,1
92,fastapi.net,0.07128118532782632,1
93,wandoujia.com,0.057131521523507395,1
94,dl1234.com,0.05713152152350709,1
95,makesource.cool,0.059607869306451663,1
96,kkkkkdajlhlkjhsdewgtuv.com,0.06819625099520395,1
97,haotukankan.com,0.05713152152350709,1
98,glotorrents.pw,0.07109369810755854,1
99,wagoo2.com,0.057131521523507395,1
100,redirectme.net,0.058012765123937035,1
101,gllmh.com,0.05976543672682482,1
102,imedao.com,0.06637830124066307,1
103,myjino.ru,0.06015755550250658,1
104,yiwanzhushou.com,0.05713152152350709,1
105,downxia.com,0.06768043070292029,1
106,ccleaner.com,0.0685616446337171,1
107,iyouxia.com,0.05713152152350711,1
108,lfppt.com,0.057639305659151666,1
109,ohsoft.net,0.05713152152350728,1
110,constantcontact.com,0.05713152152350721,1
111,wareztorrent.com,0.05713152152350721,1
112,6m5m.com,0.057131521523507256,1
113,twcczhu.com,0.05926467898298886,1
